varnames,label
laketahoe,
fallon,
wendover,
wadsworth,
pyramidlake,
nixon,
cedarville,
verdi,
tonopah,
hawthorne,
boomtown,
beatty,
latitude,
longitude,
state,
province,
nbrespat2,
nbrespat3,
nbrespat3b,
nbrespat4,
nbrespat5,
weightbfarrival,
weightbfdesire,
weightnerds,
